geoid,geographic_area_name,total_population,total_population_age_under_5_years,total_population_age_5_to_9_years,total_population_age_10_to_14_years,total_population_age_15_to_19_years,total_population_age_20_to_24_years,total_population_age_25_to_29_years,total_population_age_30_to_34_years,total_population_age_35_to_39_years,total_population_age_40_to_44_years,total_population_age_45_to_49_years,total_population_age_50_to_54_years,total_population_age_55_to_59_years,total_population_age_60_to_64_years,total_population_age_65_to_69_years,total_population_age_70_to_74_years,total_population_age_75_to_79_years,total_population_age_80_to_84_years,total_population_age_85_years_and_over,total_population_summary_indicators_median_age_years,total_population_summary_indicators_sex_ratio_males_per_100_females,median_household_income,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_44999,45000_to_49999,50000_to_59999,60000_to_74999,75000_to_99999,100000_to_124999,125000_to_149999,150000_to_199999,200000_or_more,income_in_the_past_12_months_below_poverty_level,no_schooling_completed,9th_grade,regular_high_school_diploma,ged_or_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,commute_total,car_truck_or_van,public_transport,bus,subway_or_elevated_rail,train_or_commuter_rail,walked,bicycle,motorcycle,other_means,family_households,family_households_other_family,nonfamily_households,hispanic_or_latino,not_hispanic_or_latino,white,black_or_african_american,asian,ZIP,avg_ped,total_vol_7am_8pm,avg_count_7am_8pm,parking_count,target_count,trader_joes_count,whole_foods_count,wegmans_count,aldi_count,station_count
11411,ZCTA5 11411,20501,929,798,1204,856,1121,1088,1359,1117,1281,1342,1544,1612,1527,1056,1237,1042,722,666,46.7,79.3,118393,185,89,131,107,226,105,143,164,114,425,416,621,819,674,956,1343,1221,253,133,3230,916,751,2491,1422,3289,1886,235,130,9864,6327,2726,1370,1169,163,67,49,0,53,5080,2059,1438,1537,18964,383,17299,451,11411,,,,50.0,,,,,,
11412,ZCTA5 11412,41350,2324,2059,2417,2472,2813,2990,2801,2394,2786,2488,2922,3533,2840,2227,1338,1216,852,878,40.4,80.8,98418,496,290,294,156,258,385,227,316,231,813,1038,1634,1493,1116,1437,1911,3967,584,369,7742,1432,1497,5118,2853,4564,2400,289,129,19216,9761,7038,2803,3784,449,253,52,0,75,9368,4722,2727,3548,37802,440,32103,1747,11412,,,,125.0,,,,,,
11413,ZCTA5 11413,45072,1992,2151,3307,3022,3046,3009,3166,2967,3100,2709,3545,3571,2915,1788,1767,1249,810,958,39.8,79.5,114766,328,232,174,274,98,161,232,279,414,693,907,1848,2031,1602,2462,1977,2657,533,119,7780,1804,1799,5686,2688,5472,2986,631,204,21336,11809,6271,2537,3034,605,365,96,16,159,11013,6070,2699,3910,41162,555,37755,685,11413,,,,149.0,,,,,,
11414,ZCTA5 11414,31090,2640,2164,1518,1469,769,1270,1399,2337,1942,2133,1899,1873,1972,2210,1807,1336,694,1658,45.1,96.5,98209,651,540,224,257,197,293,310,183,606,496,1064,1202,876,1010,1350,2264,1911,576,224,5414,846,1451,2745,2003,4013,2381,415,235,12266,8004,2652,906,1726,20,314,64,0,70,7834,2169,3689,7800,23290,19052,1633,1485,11414,,,,113.0,,,,,,
11415,ZCTA5 11415,21379,1394,1205,1042,964,1013,1802,2203,1555,1359,1357,1351,1232,1425,1089,793,782,375,438,37.5,104.1,88632,376,401,208,515,68,160,314,150,282,597,661,1162,954,737,1019,1363,1992,618,133,2107,260,591,1426,1225,4803,2755,605,182,10987,3290,4898,791,3520,587,597,72,0,317,4877,1472,4090,5281,16098,9267,1260,4308,11415,1479.6666666666667,,,75.0,,,,,,1.0
11416,ZCTA5 11416,26660,1626,1493,1532,1737,1725,2533,1536,1543,1678,1936,1898,2029,1722,1445,1105,425,201,496,38.6,103.4,85544,292,179,264,87,330,238,287,146,347,372,761,1024,673,646,889,966,3973,907,164,4714,836,865,1789,1732,3264,1029,199,102,12174,4566,5085,1470,3401,214,722,121,0,88,6173,2273,1328,11535,15125,3165,1028,8715,11416,,,,185.0,,,,,,
11417,ZCTA5 11417,30091,1792,1986,1905,1722,1806,2422,1876,1830,1787,1780,2194,1879,2407,1776,1090,718,573,548,39.2,92.2,86330,412,384,135,359,535,155,250,350,446,376,792,1179,1071,549,991,1387,3676,1424,293,4619,1104,1429,2221,1779,3095,1667,260,143,12985,5644,5493,1071,4375,47,604,102,0,76,7171,2312,2200,11247,18844,5129,1951,8602,11417,,,,235.0,,,,,,5.0
11418,ZCTA5 11418,36304,2161,1970,2676,2010,2316,2462,2424,2193,2224,2364,2383,2468,2711,2232,1606,1012,542,550,39.9,101.0,84927,495,216,260,244,264,394,515,352,365,918,1064,1533,1244,971,1225,1548,3528,1075,419,5815,1443,1040,2375,1595,5060,2380,405,313,16996,6798,7507,1961,5430,116,826,118,42,99,8308,2545,3300,14891,21413,6469,2747,8677,11418,,,,277.0,,,,,,4.0
11419,ZCTA5 11419,46938,1938,1949,2494,2571,3161,3852,3121,2718,3221,2627,3627,3830,3520,3260,1927,1681,963,478,42.2,105.8,91231,630,274,299,373,729,250,353,533,300,639,845,1910,1571,1175,1486,1653,5393,3404,439,9455,2120,1296,2910,2314,4946,1774,408,72,22048,9559,9118,2800,6120,198,1631,1,0,168,10667,3941,2353,9672,37266,1674,5209,16143,11419,,,,476.0,,,,,,2.0
11420,ZCTA5 11420,50060,2562,2521,2566,2897,3498,3812,3685,2849,2875,3002,3968,4393,4072,3027,2092,1202,598,441,41.0,107.6,98584,498,283,221,333,353,264,437,518,344,672,1069,2132,1614,1326,1974,1937,5410,1958,413,9698,2266,1395,3947,3029,5083,2314,320,132,23642,12677,8112,3231,4814,67,618,0,10,185,11851,4171,2124,10769,39291,2197,10106,16987,11420,,,,325.0,,,,,,1.0
